usage_tracking | usage_tracking_pkey | PRIMARY KEY (id)
usage_tracking | usage_tracking_user_id_fkey | FOREIGN KEY (user_id) REFERENCES profiles(id) ON DELETE CASCADE
user_announcements | user_announcements_pkey | PRIMARY KEY (id)
user_announcements | user_announcements_user_id_announcement_id_key | UNIQUE (user_id, announcement_id)
user_announcements | user_announcements_user_id_fkey | FOREIGN KEY (user_id) REFERENCES auth.users(id) ON DELETE CASCADE
user_onboarding | user_onboarding_pkey | PRIMARY KEY (id)
user_onboarding | user_onboarding_user_id_fkey | FOREIGN KEY (user_id) REFERENCES auth.users(id) ON DELETE CASCADE
user_onboarding | user_onboarding_user_id_flow_id_key | UNIQUE (user_id, flow_id)
user_onboarding_preferences | user_onboarding_preferences_pkey | PRIMARY KEY (user_id)
user_onboarding_preferences | user_onboarding_preferences_user_id_fkey | FOREIGN KEY (user_id) REFERENCES auth.users(id) ON DELETE CASCADE
user_resumes | check_display_order_positive | CHECK ((display_order > 0))
user_resumes | check_name_not_empty | CHECK ((TRIM(BOTH FROM name) <> ''::text))
user_resumes | user_resumes_pkey | PRIMARY KEY (id)
user_resumes | user_resumes_user_id_fkey | FOREIGN KEY (user_id) REFERENCES profiles(id) ON DELETE CASCADE
user_subscriptions | user_subscriptions_billing_cycle_check | CHECK ((billing_cycle = ANY (ARRAY['monthly'::text, 'yearly'::text])))
user_subscriptions | user_subscriptions_pkey | PRIMARY KEY (id)
user_subscriptions | user_subscriptions_plan_id_fkey | FOREIGN KEY (plan_id) REFERENCES subscription_plans(id)
user_subscriptions | user_subscriptions_status_check | CHECK ((status = ANY (ARRAY['active'::text, 'canceled'::text, 'past_due'::text, 'trialing'::text])))
user_subscriptions | user_subscriptions_user_id_fkey | FOREIGN KEY (user_id) REFERENCES profiles(id) ON DELETE CASCADE
weekly_recaps | weekly_recaps_pkey | PRIMARY KEY (id)
weekly_recaps | weekly_recaps_user_id_fkey | FOREIGN KEY (user_id) REFERENCES profiles(id) ON DELETE CASCADE
weekly_recaps | weekly_recaps_user_id_week_start_key | UNIQUE (user_id, week_start)
weekly_recaps | weekly_recaps_week_start_check | CHECK ((EXTRACT(isodow FROM week_start) = (1)::numeric))
weekly_recaps | weekly_recaps_week_start_monday | CHECK ((EXTRACT(dow FROM week_start) = (1)::numeric))
wins | wins_pkey | PRIMARY KEY (id)
wins | wins_source_check | CHECK ((source = ANY (ARRAY['manual'::text, 'recap'::text, 'zero_to_case'::text, 'import'::text])))
wins | wins_tag_check | CHECK ((tag = ANY (ARRAY['delivery'::text, 'leadership'::text, 'collaboration'::text, 'craft'::text])))
wins | wins_user_id_fkey | FOREIGN KEY (user_id) REFERENCES profiles(id) ON DELETE CASCADE
